episode, 	score, 	total_loss, 	actor_loss, 	critic_loss, 	entropy
1, 	0.2215, 	-0.3529, 	-0.4585, 	0.1099, 	4.2294
2, 	0.8360, 	-0.1508, 	-0.1545, 	0.0079, 	4.2327
3, 	0.4355, 	-0.0741, 	-0.0717, 	0.0019, 	4.2353
4, 	0.5560, 	-0.2023, 	-0.2018, 	0.0038, 	4.2406
5, 	0.5890, 	-0.1748, 	-0.1727, 	0.0022, 	4.2456
6, 	0.3825, 	-0.0786, 	-0.0756, 	0.0013, 	4.2525
7, 	0.4390, 	-0.2384, 	-0.2369, 	0.0028, 	4.2590
8, 	0.7075, 	-0.1877, 	-0.1861, 	0.0027, 	4.2648
9, 	0.7120, 	-0.2528, 	-0.2531, 	0.0046, 	4.2750
10, 	0.5925, 	-0.6494, 	-0.7425, 	0.0974, 	4.2924
11, 	0.5525, 	-0.6806, 	-0.7045, 	0.0281, 	4.2971
12, 	0.5370, 	-0.2288, 	-0.2296, 	0.0051, 	4.3041
13, 	0.4760, 	-0.1163, 	-0.1148, 	0.0028, 	4.3110
14, 	0.3735, 	-0.0554, 	-0.0531, 	0.0020, 	4.3259
15, 	0.4075, 	-0.1849, 	-0.1823, 	0.0017, 	4.3347
16, 	0.4285, 	-0.0961, 	-0.0926, 	0.0009, 	4.3533
17, 	0.4180, 	-0.1753, 	-0.1722, 	0.0013, 	4.3730
18, 	0.5670, 	-0.2209, 	-0.2182, 	0.0016, 	4.3881
19, 	0.4960, 	-0.2062, 	-0.2036, 	0.0018, 	4.4096
20, 	0.5985, 	-0.1881, 	-0.1851, 	0.0014, 	4.4330
21, 	0.6480, 	-0.2658, 	-0.2642, 	0.0029, 	4.4563
22, 	0.7110, 	-0.3048, 	-0.3043, 	0.0040, 	4.4842
23, 	0.8100, 	-0.2727, 	-0.2720, 	0.0038, 	4.5098
24, 	0.6670, 	-0.2769, 	-0.2756, 	0.0032, 	4.5404
25, 	0.9920, 	-0.2623, 	-0.2613, 	0.0035, 	4.5648
26, 	0.7415, 	-0.2443, 	-0.2427, 	0.0030, 	4.6000
27, 	0.7645, 	-0.2468, 	-0.2454, 	0.0032, 	4.6353
28, 	0.9910, 	-0.3737, 	-0.3755, 	0.0064, 	4.6685
29, 	1.4820, 	-0.4325, 	-0.4367, 	0.0089, 	4.6899
30, 	0.9870, 	-0.4804, 	-0.4844, 	0.0088, 	4.7296
31, 	1.1035, 	-0.3350, 	-0.3355, 	0.0053, 	4.7636
32, 	0.7750, 	-0.8121, 	-0.8347, 	0.0274, 	4.8070
33, 	0.3690, 	-0.0631, 	-0.0589, 	0.0007, 	4.8537
34, 	0.4170, 	-0.1829, 	-0.1790, 	0.0010, 	4.8957
35, 	0.3625, 	-0.1221, 	-0.1178, 	0.0006, 	4.9401
36, 	0.4480, 	-0.2043, 	-0.2002, 	0.0009, 	4.9879
37, 	0.5045, 	-0.1238, 	-0.1194, 	0.0006, 	5.0332
38, 	0.4195, 	-0.1298, 	-0.1253, 	0.0006, 	5.0901
39, 	0.5335, 	-0.1204, 	-0.1158, 	0.0005, 	5.1425
40, 	0.4615, 	-0.2693, 	-0.2664, 	0.0023, 	5.1999
41, 	0.5105, 	-0.1851, 	-0.1809, 	0.0010, 	5.2661
42, 	0.4865, 	-0.2353, 	-0.2315, 	0.0016, 	5.3278
43, 	0.6385, 	-0.2753, 	-0.2721, 	0.0022, 	5.3867
44, 	1.0725, 	-0.3965, 	-0.3971, 	0.0060, 	5.4265
45, 	0.7230, 	-0.2576, 	-0.2544, 	0.0023, 	5.4829
46, 	0.9485, 	-0.4672, 	-0.4675, 	0.0058, 	5.5273
47, 	1.5805, 	-0.5803, 	-0.5854, 	0.0107, 	5.5545
48, 	0.3065, 	-0.8080, 	-0.8198, 	0.0175, 	5.6287
49, 	0.6195, 	-0.3165, 	-0.3132, 	0.0024, 	5.6740
50, 	0.6320, 	-0.3258, 	-0.3228, 	0.0026, 	5.7110
51, 	0.9870, 	-0.4298, 	-0.4312, 	0.0072, 	5.7463
52, 	0.9355, 	-0.2979, 	-0.2948, 	0.0027, 	5.7950
53, 	1.1410, 	-0.5365, 	-0.5390, 	0.0083, 	5.8250
54, 	1.3290, 	-0.4563, 	-0.4566, 	0.0062, 	5.8484
55, 	1.8085, 	-0.7744, 	-0.7867, 	0.0182, 	5.8520
56, 	2.1740, 	-0.9721, 	-0.9891, 	0.0228, 	5.8615
57, 	1.6280, 	-0.5627, 	-0.5663, 	0.0095, 	5.8836
58, 	1.8000, 	-0.7578, 	-0.7677, 	0.0158, 	5.9067
59, 	1.8110, 	-0.7598, 	-0.7717, 	0.0179, 	5.9232
60, 	1.9455, 	-1.0473, 	-1.0794, 	0.0380, 	5.9380
61, 	1.5640, 	-0.6240, 	-0.6285, 	0.0104, 	5.9624
62, 	2.3425, 	-0.8222, 	-0.8355, 	0.0192, 	5.9659
63, 	2.4195, 	-1.1269, 	-1.1609, 	0.0400, 	5.9583
64, 	2.1425, 	-0.9000, 	-0.9138, 	0.0198, 	5.9706
65, 	2.8120, 	-0.8745, 	-0.8887, 	0.0202, 	5.9691
66, 	2.7820, 	-1.0706, 	-1.0950, 	0.0304, 	5.9688
67, 	2.7185, 	-1.8608, 	-1.9577, 	0.1029, 	5.9724
68, 	2.8165, 	-1.2923, 	-1.3308, 	0.0445, 	5.9812
69, 	3.7250, 	-1.9264, 	-2.0203, 	0.0998, 	5.9763
70, 	2.6805, 	-1.2560, 	-1.2868, 	0.0368, 	5.9766
71, 	4.2880, 	-1.5893, 	-1.6642, 	0.0809, 	5.9615
72, 	2.4855, 	-1.2936, 	-1.3377, 	0.0500, 	5.9659
73, 	2.9445, 	-1.4504, 	-1.4974, 	0.0529, 	5.9640
74, 	3.1855, 	-1.6145, 	-1.6697, 	0.0612, 	5.9607
75, 	3.3295, 	-1.3837, 	-1.4291, 	0.0514, 	5.9604
76, 	4.2290, 	-1.3452, 	-1.4036, 	0.0644, 	5.9516
77, 	4.9410, 	-2.4769, 	-2.6636, 	0.1927, 	5.9352
78, 	4.5560, 	-2.0065, 	-2.1163, 	0.1158, 	5.9282
79, 	5.1165, 	-2.7417, 	-2.9631, 	0.2274, 	5.9251
80, 	5.4245, 	-1.8714, 	-1.9659, 	0.1004, 	5.9269
81, 	4.7880, 	-2.6197, 	-2.8085, 	0.1947, 	5.9202
82, 	4.7595, 	-2.3360, 	-2.4840, 	0.1539, 	5.9230
83, 	5.3705, 	-2.5343, 	-2.7145, 	0.1860, 	5.9146
84, 	6.3680, 	-3.1772, 	-3.4759, 	0.3047, 	5.9070
85, 	6.8585, 	-4.2364, 	-4.8437, 	0.6133, 	5.8966
86, 	2.5050, 	-1.2134, 	-1.2436, 	0.0361, 	5.9213
87, 	3.3175, 	-1.8309, 	-1.9080, 	0.0831, 	5.9193
88, 	4.1820, 	-2.1889, 	-2.3001, 	0.1171, 	5.9088
89, 	3.9255, 	-1.5778, 	-1.6373, 	0.0655, 	5.9091
90, 	5.1180, 	-2.5824, 	-2.7638, 	0.1873, 	5.9007
91, 	6.8415, 	-3.6643, 	-4.0022, 	0.3438, 	5.8834
92, 	9.3795, 	-3.8217, 	-4.3274, 	0.5115, 	5.8536
93, 	8.3360, 	-2.9653, 	-3.2251, 	0.2657, 	5.8509
94, 	8.8555, 	-4.0057, 	-4.5870, 	0.5871, 	5.8249
95, 	11.4705, 	-4.1563, 	-4.8067, 	0.6562, 	5.8124
96, 	10.1230, 	-4.8317, 	-5.5860, 	0.7600, 	5.7897
97, 	9.3215, 	-3.8918, 	-4.4211, 	0.5350, 	5.7776
98, 	8.5425, 	-3.2126, 	-3.5637, 	0.3569, 	5.7676
99, 	10.9450, 	-4.1793, 	-4.7789, 	0.6054, 	5.7533
100, 	9.2990, 	-3.8616, 	-4.2968, 	0.4409, 	5.7440
101, 	12.0550, 	-4.1766, 	-4.9049, 	0.7340, 	5.7232
102, 	11.2770, 	-4.3230, 	-4.9983, 	0.6810, 	5.7151
103, 	11.7430, 	-5.2368, 	-6.1591, 	0.9280, 	5.7012
104, 	14.6925, 	-5.4065, 	-6.6066, 	1.2058, 	5.6756
105, 	7.3950, 	-3.7516, 	-4.2720, 	0.5261, 	5.6727
106, 	12.1805, 	-3.2998, 	-3.7701, 	0.4760, 	5.6546
107, 	17.3370, 	-6.7522, 	-8.8796, 	2.1330, 	5.6253
108, 	13.7210, 	-5.2115, 	-6.3825, 	1.1766, 	5.6152
109, 	14.9105, 	-6.4064, 	-7.9966, 	1.5958, 	5.6032
110, 	15.7230, 	-5.3536, 	-6.6073, 	1.2593, 	5.5924
111, 	15.8380, 	-6.3730, 	-7.7539, 	1.3865, 	5.5782
112, 	17.9930, 	-6.9167, 	-9.0520, 	2.1409, 	5.5623
113, 	14.3865, 	-5.4066, 	-6.8710, 	1.4700, 	5.5569
114, 	14.0295, 	-5.2900, 	-6.3960, 	1.1116, 	5.5524
115, 	15.0450, 	-5.6829, 	-6.9933, 	1.3159, 	5.5444
116, 	17.3765, 	-6.6886, 	-8.8678, 	2.1847, 	5.5334
117, 	10.1230, 	-4.8999, 	-5.6781, 	0.7837, 	5.5388
118, 	13.2220, 	-5.5272, 	-6.8961, 	1.3745, 	5.5237
119, 	12.8405, 	-5.1167, 	-6.3137, 	1.2025, 	5.5224
120, 	16.4230, 	-6.6163, 	-8.3006, 	1.6898, 	5.5029
